Date,AA,BAC,BHI,CVX,DD,DOW,DPS,GS,HAL,HES,HON,HUN,JPM,KO,MMM,MPC,PEP,SLB,WFC,XOM,VV
31-Dec-13,10.63,15.57,55.26,124.91,64.97,44.4,48.72,177.26,50.75,83,91.37,24.6,58.48,41.31,140.25,91.73,82.94,90.11,45.4,101.2,84.8
30-Dec-13,10.53,15.54,54.45,124.23,64.65,44.6,48.84,175.73,50.4,82.61,91,24.33,57.95,41.09,139.42,88.5,82.91,89.17,45.5,100.31,84.37
27-Dec-13,10.69,15.67,54.77,125.23,64.25,44.6,48.8,176.35,51.08,83.07,91.14,24.24,58.14,40.66,139.35,89.13,82.71,89.9,45.5,101.51,84.45
26-Dec-13,10.43,15.65,54.58,124.81,64.25,44.86,48.59,176.45,51.21,82.6,91.1,24.01,58.2,40.49,138.29,89.54,82.45,89.39,45.54,100.9,84.45
24-Dec-13,10.36,15.7,54,123.51,63.83,44.42,48.5,176.16,50.68,81.14,90.45,24.14,58.25,40.19,136.99,89.35,82.04,88.31,45.39,99.22,84.07
23-Dec-13,10.13,15.69,53.64,122.8,62.74,43.88,48.19,176.47,50.3,80.22,89.72,23.94,58.24,40.16,136.8,88.77,81.86,87.32,45.21,98.51,84.31
20-Dec-13,9.94,15.6,53.81,122.78,62.55,43.78,48.42,175.16,50.54,80.17,89.55,23.77,57.7,40.04,136.72,87.26,81.81,87.27,44.96,98.68,83.85
19-Dec-13,9.97,15.75,53.19,123.22,62.71,43.9,47.8,174.77,49.42,80.54,88.64,23.77,57.23,39.86,136.41,85.71,81.66,86.47,45.02,99.43,83.36
18-Dec-13,9.83,15.69,53.66,121.6,62.19,43.51,48.22,174.84,49.91,80.83,88.45,23.79,57.24,40.02,135.8,87.42,81.42,87.26,44.93,99.54,83.5
17-Dec-13,9.7,15.18,52.66,118.74,61.18,42.2,47.35,170.49,49.35,79.51,86.48,23.55,55.72,39.1,131.39,86.09,80.46,85.54,43.59,96.75,82.07
16-Dec-13,9.57,15.24,53.23,120.22,60.84,41.6,47.75,170.95,50.13,79.35,87.37,23.38,56.42,39.27,127.66,86.35,81,87,43.98,97.22,82.32
13-Dec-13,9.51,15.18,52.71,119.9,60.24,41.52,47.58,168.39,49.39,78.95,86.61,23.18,56.17,39.23,126.43,85.21,80.93,86.37,43.73,95.31,81.81
12-Dec-13,9.37,15.25,53.03,120.99,59.95,40.76,47.3,168.33,49.59,78.56,86.29,23.17,56.31,39.21,126.58,85.7,81.28,86.96,43.5,95.36,81.77
11-Dec-13,9.34,15.25,52.44,122.1,60.29,41.05,48.31,167.6,48.99,78.94,86.45,23.15,56.07,40.13,126.77,85.98,82.67,86.14,43.52,94.26,81.97
10-Dec-13,9.56,15.56,53.29,123.66,61.44,41.78,48.39,169.73,49.43,79.94,87.84,23.98,56.7,39.85,127.55,87.51,82.4,87.01,44.11,95.71,82.97
9-Dec-13,9.48,15.58,53.74,123.34,61.39,40.8,48.74,167.67,49.91,80.51,87.87,23.62,56.51,40.4,128.57,85.55,82.69,88.03,44.32,95.84,83.18
6-Dec-13,9.36,15.56,53.83,122.29,61.34,39.27,49,167.21,50.56,80.86,88.32,23.32,56.06,40.46,128.61,87.2,83.15,88.15,44.11,95.65,82.99
5-Dec-13,9.35,15.43,54,121.1,60.11,38.61,48.21,165.56,50.48,81.47,86.86,23,55.82,39.83,126.83,83.85,81.9,86.87,43.25,94.13,82.16
4-Dec-13,9.36,15.63,54.7,121.77,60.26,38.89,48.63,168.7,50.62,82.21,86.83,23.14,57.19,40.37,126.46,83.26,82.65,87.28,43.75,94.67,82.49
